TIMESTAMP,RECORD,batt_volt_Min,LithBatt_Min,PTemp_Avg,AirTemp_Avg,AirTemp_Max,AirTemp_Min,RH_Avg,RH_Max,RH_Min,Pressure
24/10/17 17:00,0,12.61,3.431,25.37,25.25,25.29,25.18,65.58,65.75,65.39,1014
31/10/17 17:00,1,12.82,3.451,30.88,30.83,30.91,30.73,66.14,66.44,65.98,1003
31/10/17 17:10,2,13.35,3.459,30.92,31,31.08,30.93,65.97,66.08,65.92,1003
31/10/17 17:20,3,13.45,3.462,31.02,31.17,31.21,31.13,65.75,65.89,65.68,1004
31/10/17 17:30,4,13.46,3.463,31.12,31.26,31.28,31.23,66.16,66.31,65.84,1004
31/10/17 17:40,5,13.51,3.466,31.18,31.24,31.27,31.22,66.33,66.52,66.22,1004
31/10/17 17:50,6,13.53,3.466,31.19,31.13,31.19,31.05,66.96,67.41,66.61,1004
31/10/17 18:00,7,13.54,3.465,31.18,30.93,31,30.84,66.54,67.13,65.84,1003
31/10/17 18:10,8,13.54,3.466,31.15,30.67,30.77,30.57,66.99,67.73,66.14,1002
31/10/17 18:20,9,13.54,3.465,31.09,30.37,30.48,30.25,69.1,69.8,68.41,1002
31/10/17 18:30,10,13.55,3.466,31.02,30.06,30.17,29.95,70.68,71.2,70.18,1003
31/10/17 18:40,11,13.55,3.466,30.91,29.8,29.9,29.7,71.88,72.3,71.4,1003
31/10/17 18:50,12,13.54,3.467,30.81,29.55,29.65,29.47,72.93,73.33,72.5,1003
31/10/17 19:00,13,13.55,3.466,30.69,29.37,29.44,29.31,73.79,74.07,73.5,1003
31/10/17 19:10,14,13.55,3.466,30.58,29.22,29.28,29.16,74.49,74.76,74.21,1004
31/10/17 19:20,15,13.56,3.465,30.46,29.07,29.14,28.99,75.3,75.62,74.93,1003
31/10/17 19:30,16,13.58,3.466,30.35,28.95,28.99,28.91,76.08,76.31,75.82,1004
31/10/17 19:40,17,13.58,3.465,30.23,28.84,28.87,28.8,76.81,77.08,76.54,1004
31/10/17 19:50,18,13.6,3.464,30.12,28.71,28.76,28.66,77.53,77.9,77.22,1004
31/10/17 20:00,19,13.61,3.464,30.03,28.59,28.64,28.53,78.18,78.34,78.02,1004
31/10/17 20:10,20,13.62,3.464,29.93,28.45,28.51,28.41,78.7,78.91,78.46,1005
31/10/17 20:20,21,13.63,3.464,29.82,28.32,28.36,28.29,79.31,79.52,79.13,1005
31/10/17 20:30,22,13.63,3.463,29.74,28.23,28.27,28.2,79.75,80.1,79.58,1005
31/10/17 20:40,23,13.62,3.463,29.66,28.13,28.16,28.12,80.4,80.4,80.3,1005
31/10/17 20:50,24,13.63,3.463,29.59,28.11,28.12,28.1,80.4,80.5,80.3,1005
31/10/17 21:00,25,13.63,3.463,29.53,28.08,28.1,28.08,80.6,80.6,80.6,1006
31/10/17 21:10,26,13.64,3.463,29.47,28.08,28.09,28.08,80.6,80.6,80.6,1006
31/10/17 21:20,27,13.65,3.463,29.43,28.09,28.12,28.07,80.8,80.9,80.7,1005
31/10/17 21:30,28,13.65,3.463,29.4,28.09,28.1,28.07,80.8,80.8,80.8,1006
31/10/17 21:40,29,13.65,3.463,29.33,28.05,28.06,28.03,80.8,80.9,80.8,1006
31/10/17 21:50,30,13.59,3.463,29.29,28.04,28.06,28.03,80.7,80.7,80.6,1006
31/10/17 22:00,31,13.66,3.463,29.26,28.02,28.03,28.01,80.6,80.7,80.6,1006
31/10/17 22:10,32,13.65,3.463,29.22,27.98,28,27.94,80.7,80.8,80.6,1006
31/10/17 22:20,33,13.65,3.463,29.19,27.95,27.97,27.93,80.7,80.8,80.6,1006
31/10/17 22:30,34,13.67,3.463,29.16,27.93,27.94,27.92,80.6,80.7,80.5,1006
31/10/17 22:40,35,13.67,3.463,29.12,27.92,27.92,27.91,80.5,80.6,80.5,1005
31/10/17 22:50,36,13.67,3.463,29.1,27.88,27.9,27.87,80.7,80.7,80.6,1006
31/10/17 23:00,37,13.67,3.463,29.07,27.85,27.87,27.84,80.8,80.8,80.7,1006
31/10/17 23:10,38,13.65,3.463,29.04,27.84,27.84,27.84,80.8,80.9,80.7,1006
31/10/17 23:20,39,13.66,3.463,29,27.82,27.83,27.8,80.8,80.8,80.7,1005
31/10/17 23:30,40,13.67,3.463,28.99,27.82,27.82,27.82,80.7,80.8,80.6,1006
31/10/17 23:40,41,13.66,3.463,28.95,27.82,27.83,27.81,80.5,80.6,80.4,1005
31/10/17 23:50,42,13.65,3.463,28.92,27.8,27.81,27.79,80.3,80.4,80.3,1005
1/11/17 0:00,43,13.64,3.463,28.89,27.73,27.78,27.69,80.4,80.6,80.3,1005
1/11/17 0:10,44,13.63,3.463,28.85,27.64,27.68,27.6,80.7,80.8,80.6,1005
1/11/17 0:20,45,13.62,3.463,28.82,27.58,27.62,27.54,80.7,80.8,80.6,1005
1/11/17 0:30,46,13.65,3.462,28.77,27.49,27.51,27.48,80.8,80.9,80.8,1005
1/11/17 0:40,47,13.64,3.463,28.72,27.42,27.47,27.36,80.8,80.9,80.8,1005
1/11/17 0:50,48,13.63,3.463,28.66,27.31,27.33,27.28,81.1,81.1,81,1005
1/11/17 1:00,49,13.62,3.462,28.59,27.2,27.24,27.18,81.3,81.4,81.2,1004
1/11/17 1:10,50,13.65,3.463,28.52,27.08,27.13,27.06,81.7,81.7,81.5,1004
1/11/17 1:20,51,13.64,3.463,28.44,27,27.04,26.97,81.9,82.1,81.8,1004
1/11/17 1:30,52,13.64,3.462,28.36,26.9,26.95,26.87,82.2,82.3,82.1,1004
1/11/17 1:40,53,13.63,3.462,28.29,26.82,26.88,26.76,82.4,82.6,82.3,1004
1/11/17 1:50,54,13.62,3.462,28.21,26.72,26.76,26.68,82.8,82.9,82.7,1004
1/11/17 2:00,55,13.61,3.462,28.12,26.61,26.65,26.57,83.1,83.2,82.9,1004
1/11/17 2:10,56,13.62,3.462,28.05,26.5,26.54,26.48,83.5,83.6,83.3,1004
1/11/17 2:20,57,13.63,3.462,27.95,26.42,26.46,26.38,83.8,83.9,83.6,1004
1/11/17 2:30,58,13.62,3.461,27.87,26.31,26.35,26.28,84.1,84.3,84,1004
1/11/17 2:40,59,13.62,3.462,27.79,26.23,26.26,26.21,84.5,84.6,84.4,1004
1/11/17 2:50,60,13.63,3.462,27.71,26.2,26.21,26.2,84.8,84.8,84.7,1004
1/11/17 3:00,61,13.64,3.46,27.64,26.22,26.24,26.22,84.8,84.8,84.7,1004
1/11/17 3:10,62,13.65,3.461,27.59,26.23,26.24,26.22,84.7,84.8,84.7,1004
1/11/17 3:20,63,13.67,3.461,27.53,26.23,26.24,26.22,84.8,84.9,84.8,1004
1/11/17 3:30,64,13.68,3.46,27.49,26.2,26.22,26.2,85,85,84.9,1004
1/11/17 3:40,65,13.65,3.461,27.42,26.17,26.18,26.16,85.1,85.1,85,1004
1/11/17 3:50,66,13.66,3.461,27.39,26.14,26.16,26.12,85.1,85.2,85.1,1004
1/11/17 4:00,67,13.67,3.461,27.33,26.07,26.11,26.05,85.4,85.5,85.3,1004
1/11/17 4:10,68,13.66,3.461,27.28,26.01,26.06,25.98,85.6,85.7,85.5,1004
1/11/17 4:20,69,13.67,3.46,27.21,25.92,25.96,25.89,85.8,85.9,85.7,1004
1/11/17 4:30,70,13.68,3.46,27.16,25.81,25.86,25.76,86.1,86.2,85.9,1004
