TIMESTAMP,RECORD,Kmh_Max3Sec,WS_kmh_3SecAvg_TMx,WindDir_3sec,Kmh_Mean,WindDir_MeanVect,Kmh_StDev,Pressure
2017-03-23 16:10,18298,0,00:00.1,0,0,0,0,1003
2017-03-23 16:20,18299,0,10:00.1,0,0,0,0,1003
2017-03-23 16:30,18300,0,20:00.1,0,0,0,0,1003
2017-03-23 16:40,18301,0,30:00.1,0,0,0,0,1004
2017-03-23 16:50,18302,0,40:00.1,0,0,0,0,1004
2017-03-23 17:00,18303,0,50:00.1,0,0,0,0,1004
2017-03-23 17:10,18304,0,00:00.1,0,0,0,0,1004
2017-03-23 17:30,18305,0,25:55.3,0,0,0,0,1004
2017-03-23 17:40,18306,0,30:00.1,0,0,0,0,1004
2017-03-23 17:50,18307,0,40:00.1,0,0,0,0,1004
2017-03-23 18:00,18308,0,50:00.1,0,0,0,0,1005
2017-03-23 18:10,18309,0,00:00.1,0,0,0,0,1005
2017-03-23 18:20,18310,0,10:00.1,0,0,0,0,1005
2017-03-23 18:30,18311,0,20:00.1,0,0,0,0,1005
2017-03-23 18:40,18312,0,30:00.1,0,0,0,0,1005
2017-03-23 18:50,18313,0,40:00.1,0,0,0,0,1005
2017-03-23 19:00,18314,0,50:00.1,0,0,0,0,1005
2017-03-23 19:10,18315,0,00:00.1,0,0,0,0,1005
2017-03-23 19:20,18316,0,10:00.1,0,0,0,0,1005
2017-03-23 19:30,18317,0,20:00.1,0,0,0,0,1006
2017-03-23 19:40,18318,0,30:00.1,0,0,0,0,1006
2017-03-23 19:50,18319,0,40:00.1,0,0,0,0,1006
2017-03-23 20:00,18320,0,50:00.1,0,0,0,0,1007
2017-03-23 20:10,18321,0,00:00.1,0,0,0,0,1007
2017-03-23 20:20,18322,0,10:00.1,0,0,0,0,1007
2017-03-23 20:30,18323,0,20:00.1,0,0,0,0,1007
2017-03-23 20:40,18324,0,30:00.1,0,0,0,0,1007
2017-03-23 20:50,18325,0,40:00.1,0,0,0,0,1007
2017-03-23 21:00,18326,0,50:00.1,0,0,0,0,1007
2017-03-23 21:10,18327,0,00:00.1,0,0,0,0,1007
2017-03-23 21:20,18328,0,10:00.1,0,0,0,0,1007
2017-03-23 21:30,18329,0,20:00.1,0,0,0,0,1008
2017-03-23 21:40,18330,0,30:00.1,0,0,0,0,1007
2017-03-23 21:50,18331,0,40:00.1,0,0,0,0,1007
2017-03-23 22:00,18332,0,50:00.1,0,0,0,0,1007
2017-03-23 22:10,18333,0,00:00.1,0,0,0,0,1007
2017-03-23 22:20,18334,0,10:00.1,0,0,0,0,1008
2017-03-23 22:30,18335,0,20:00.1,0,0,0,0,1007
2017-03-23 22:40,18336,0,30:00.1,0,0,0,0,1007
2017-03-23 22:50,18337,0,40:00.1,0,0,0,0,1007
2017-03-23 23:00,18338,0,50:00.1,0,0,0,0,1007
2017-03-23 23:10,18339,0,00:00.1,0,0,0,0,1006
2017-03-23 23:20,18340,0,10:00.1,0,0,0,0,1006
2017-03-23 23:30,18341,0,20:00.1,0,0,0,0,1006
2017-03-23 23:40,18342,0,30:00.1,0,0,0,0,1006
2017-03-23 23:50,18343,0,40:00.1,0,0,0,0,1006
2017-03-24 00:00,18344,0,50:00.1,0,0,0,0,1006
2017-03-24 00:10,18345,0,00:00.1,0,0,0,0,1006
2017-03-24 00:20,18346,0,10:00.1,0,0,0,0,1006
2017-03-24 00:30,18347,0,20:00.1,0,0,0,0,1006
2017-03-24 00:40,18348,0,30:00.1,0,0,0,0,1006
2017-03-24 00:50,18349,0,40:00.1,0,0,0,0,1006
2017-03-24 01:00,18350,0,50:00.1,0,0,0,0,1006
2017-03-24 01:10,18351,0,00:00.1,0,0,0,0,1005
2017-03-24 01:20,18352,0,10:00.1,0,0,0,0,1006
2017-03-24 01:30,18353,0,20:00.1,0,0,0,0,1005
2017-03-24 01:40,18354,0,30:00.1,0,0,0,0,1005
2017-03-24 01:50,18355,0,40:00.1,0,0,0,0,1005
2017-03-24 02:00,18356,0,50:00.1,0,0,0,0,1005
2017-03-24 02:10,18357,0,00:00.1,0,0,0,0,1005
2017-03-24 02:20,18358,0,10:00.1,0,0,0,0,1005
2017-03-24 02:30,18359,0,20:00.1,0,0,0,0,1004
2017-03-24 02:40,18360,0,30:00.1,0,0,0,0,1005
2017-03-24 02:50,18361,0,40:00.1,0,0,0,0,1004
2017-03-24 03:00,18362,0,50:00.1,0,0,0,0,1004
2017-03-24 03:10,18363,0,00:00.1,0,0,0,0,1004
2017-03-24 03:20,18364,0,10:00.1,0,0,0,0,1004
2017-03-24 03:30,18365,0,20:00.1,0,0,0,0,1004
2017-03-24 03:40,18366,0,30:00.1,0,0,0,0,1004
2017-03-24 03:50,18367,0,40:00.1,0,0,0,0,1004
2017-03-24 04:00,18368,0,50:00.1,0,0,0,0,1004
2017-03-24 04:10,18369,0,00:00.1,0,0,0,0,1004
2017-03-24 04:20,18370,0,10:00.1,0,0,0,0,1004
2017-03-24 04:30,18371,0,20:00.1,0,0,0,0,1003
2017-03-24 04:40,18372,0,30:00.1,0,0,0,0,1004
2017-03-24 04:50,18373,0,40:00.1,0,0,0,0,1004
2017-03-24 05:00,18374,0,50:00.1,0,0,0,0,1004
2017-03-24 05:10,18375,0,00:00.1,0,0,0,0,1004
