TIMESTAMP,RECORD,batt_volt_Min,LithBatt_Min,PTemp_Avg,AirTemp_Avg,AirTemp_Max,AirTemp_Min,RH_Avg,RH_Max,RH_Min,Pressure
23/3/17 17:40,10542,12.78,3.437,29.82,29.07,29.1,29.04,81.7,81.8,81.6,1003
23/3/17 17:50,10543,12.74,3.437,29.8,28.97,29.01,28.93,81.4,81.6,81.2,1004
23/3/17 18:00,10544,12.73,3.437,29.76,28.84,28.9,28.78,81,81.4,80.6,1004
23/3/17 18:10,10545,12.78,3.436,29.7,28.71,28.75,28.68,81.2,81.4,81,1004
23/3/17 18:20,10546,12.8,3.435,29.65,28.62,28.65,28.58,81.2,81.3,81,1004
23/3/17 18:30,10547,12.81,3.435,29.6,28.5,28.53,28.46,81.3,81.6,81.1,1004
23/3/17 18:40,10548,12.79,3.435,29.54,28.43,28.46,28.4,81.9,82.2,81.6,1004
23/3/17 18:50,10549,12.82,3.435,29.47,28.37,28.41,28.32,81.9,82.1,81.8,1004
23/3/17 19:00,10550,12.82,3.434,29.41,28.26,28.29,28.23,82,82.2,81.8,1004
23/3/17 19:10,10551,12.82,3.434,29.34,28.17,28.21,28.14,82.4,82.6,82.3,1004
23/3/17 19:20,10552,12.83,3.433,29.28,28.09,28.12,28.06,82.6,82.7,82.6,1005
23/3/17 19:30,10553,12.83,3.433,29.22,28.03,28.06,28,82.6,82.7,82.6,1004
23/3/17 19:40,10554,12.83,3.433,29.16,27.98,28,27.96,82.7,82.8,82.7,1005
23/3/17 19:50,10555,12.83,3.433,29.1,27.95,27.96,27.94,83.1,83.3,82.8,1005
23/3/17 20:00,10556,12.83,3.433,29.03,27.91,27.93,27.88,83.3,83.3,83.3,1006
23/3/17 20:10,10557,12.83,3.433,28.99,27.86,27.89,27.84,83.5,83.6,83.3,1005
23/3/17 20:20,10558,12.83,3.433,28.93,27.73,27.78,27.68,83.9,84.1,83.7,1006
23/3/17 20:30,10559,12.83,3.433,28.87,27.59,27.65,27.54,84.3,84.5,84.1,1006
23/3/17 20:40,10560,12.83,3.433,28.8,27.45,27.49,27.4,84.6,84.7,84.5,1006
23/3/17 20:50,10561,12.83,3.432,28.74,27.36,27.4,27.33,84.8,84.9,84.5,1006
23/3/17 21:00,10562,12.83,3.432,28.66,27.31,27.32,27.3,85,85.1,84.9,1006
23/3/17 21:10,10563,12.83,3.432,28.6,27.29,27.31,27.28,85.1,85.3,85,1006
23/3/17 21:20,10564,12.83,3.431,28.54,27.24,27.28,27.21,85.5,85.7,85.4,1006
23/3/17 21:30,10565,12.83,3.432,28.47,27.15,27.2,27.12,85.8,85.9,85.7,1006
23/3/17 21:40,10566,12.83,3.432,28.4,26.99,27.09,26.88,85.3,85.9,84.2,1006
23/3/17 21:50,10567,12.83,3.431,28.32,26.72,26.83,26.59,83.3,84,82.5,1006
23/3/17 22:00,10568,12.83,3.431,28.2,26.45,26.55,26.36,82,82.3,81.8,1006
23/3/17 22:10,10569,12.83,3.432,28.07,26.22,26.32,26.12,81.5,81.7,81.4,1006
23/3/17 22:20,10570,12.83,3.431,27.94,26.03,26.09,25.97,82.1,82.5,81.7,1007
23/3/17 22:30,10571,12.83,3.431,27.8,25.85,25.94,25.77,82.6,82.7,82.5,1006
23/3/17 22:40,10572,12.83,3.43,27.66,25.67,25.74,25.61,82.8,83,82.6,1006
23/3/17 22:50,10573,12.82,3.429,27.53,25.5,25.55,25.45,83.5,83.9,83.1,1006
23/3/17 23:00,10574,12.82,3.429,27.4,25.37,25.42,25.34,83.7,84,83.2,1006
23/3/17 23:10,10575,12.82,3.428,27.28,25.23,25.3,25.18,82.7,82.9,82.4,1005
23/3/17 23:20,10576,12.82,3.429,27.15,25.16,25.18,25.13,82.9,83,82.9,1005
